ID_MEDICO;especialidade
1;CARDIOLOGIA
2;PEDIATRIA
3;CLINICA MEDICA
4;CARDIOLOGIA
5;GINECOLOGIA E OBSTETRICIA
6;GASTROENTEROLOGIA
7;CARDIOLOGIA
8;CLINICA MEDICA
9;CARDIOLOGIA
10;CLINICA MEDICA
11;CLINICA MEDICA
12;GINECOLOGIA E OBSTETRICIA
13;CLINICA MEDICA
14;CLINICA MEDICA
15;CLINICA MEDICA
16;CLINICA MEDICA
17;CLINICA MEDICA
18;CLINICA MEDICA
19;PEDIATRIA
20;CLINICA MEDICA
21;CLINICA MEDICA
22;GINECOLOGIA E OBSTETRICIA
23;CLINICA MEDICA
24;REUMATOLOGIA
25;CLINICA MEDICA
26;UROLOGIA
27;OFTALMOLOGIA
28;CLINICA MEDICA
29;PEDIATRIA
30;CLINICA MEDICA
31;CLINICA MEDICA
32;CLINICA MEDICA
33;CLINICA MEDICA
34;DERMATOLOGIA
35;GASTROENTEROLOGIA
36;CLINICA MEDICA
37;OFTALMOLOGIA
38;CLINICA MEDICA
39;CLINICA MEDICA
40;CLINICA MEDICA
41;CLINICA MEDICA
42;CLINICA MEDICA
43;OTORRINOLARINGOLOGIA
44;CLINICA MEDICA
45;CARDIOLOGIA
46;CLINICA MEDICA
47;UROLOGIA
48;PATOLOGIA
49;OTORRINOLARINGOLOGIA
50;CLINICA MEDICA
51;CLINICA MEDICA
52;PEDIATRIA
53;CLINICA MEDICA
54;CIRURGIA VASCULAR
55;CLINICA MEDICA
56;CLINICA MEDICA
57;PATOLOGIA
58;CLINICA MEDICA
59;DERMATOLOGIA
60;CLINICA MEDICA
61;DERMATOLOGIA
62;GINECOLOGIA E OBSTETRICIA
63;GINECOLOGIA E OBSTETRICIA
64;CLINICA MEDICA
65;CLINICA MEDICA
66;NEUROLOGIA
67;CLINICA MEDICA
68;CLINICA MEDICA
69;CLINICA MEDICA
70;CLINICA MEDICA
71;CLINICA MEDICA
72;MEDICINA INTENSIVA
73;CLINICA MEDICA
74;CLINICA MEDICA
75;GINECOLOGIA E OBSTETRICIA
76;CLINICA MEDICA
77;PEDIATRIA
78;CLINICA MEDICA
79;PSIQUIATRIA
80;CLINICA MEDICA
81;CLINICA MEDICA
82;CLINICA MEDICA
83;CLINICA MEDICA
84;CLINICA MEDICA
85;CLINICA MEDICA
86;CLINICA MEDICA
87;CLINICA MEDICA
88;CLINICA MEDICA
89;CLINICA MEDICA
90;CLINICA MEDICA
91;CLINICA MEDICA
92;GASTROENTEROLOGIA
93;CLINICA MEDICA
